title,cwe,description,cvss,cvss_v4,finding,stream,kind,where,snippet,method
083. XML injection (XXE),CWE-611,Access to external entities in XML parsing is enabled in my_app/XXE/xxe.js,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AT:N/AC:L/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-083,skims,SAST,8,"
   6 | (req, res) => {
   7 |     const XMLfile = req.files.products.data;
>  8 |  const products = libxmljs.parseXmlString(XMLfile, {noent:true,noblanks:true})
   9 |
  10 |  products.root().childNodes().forEach(product => {
  11 |   let newProduct = new db.Product()
  12 |   newProduct.name = product.childNodes()[0].text()
  13 |   newProduct.description = product.childNodes()[3].text()
  14 |   newProduct.save()
  15 |     });
  16 |
  17 |     res.send('Thanks')
  18 | }
     ^ Col 0
",javascript.js_xml_parser
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/CVE-2019-16662.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,12,"
   4 | /* check PHP Safe_Mode is off */
   5 | if (ini_get('safe_mode')) {
   6 |     $array['phpSafeMode'] = '<strong><font class=""bad"">Fail - php safe mode is on - turn it off before you proceed with t
   7 | } else {
   8 |     $array['phpSafeMode'] = '<strong><font class=""Good"">Pass - php safe mode is off</strong></font><br/>';
   9 | }
  10 | /* Test root account details */
  11 | $rootTestCmd1 = 'sudo -S -u ' . $rootUname . ' chmod 0777 /home 2>&1';
> 12 | exec($rootTestCmd1, $cmdOutput, $err);
  13 | $homeDirPerms = substr(sprintf('%o', fileperms('/home')), -4);
  14 | if ($homeDirPerms == '0777') {
  15 |     $array['rootDetails'] = '<strong><font class=""Good"">Pass - root account details are good </strong></font><br/>';
  16 | } else {
  17 |     $array['rootDetails'] = '<strong><font class=""bad"">The root details provided have not passed: ' . $cmdOutput[0] . '</
  18 | }
  19 | // reset /home dir permissions
  20 | $rootTestCmd2 = 'sudo -S -u ' . $rootUname . ' chmod 0755 /home 2>&1';
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/CVE-2019-16662.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,21,"
   6 |     $array['phpSafeMode'] = '<strong><font class=""bad"">Fail - php safe mode is on - turn it off before you proceed with t
   7 | } else {
   8 |     $array['phpSafeMode'] = '<strong><font class=""Good"">Pass - php safe mode is off</strong></font><br/>';
   9 | }
  10 | /* Test root account details */
  11 | $rootTestCmd1 = 'sudo -S -u ' . $rootUname . ' chmod 0777 /home 2>&1';
  12 | exec($rootTestCmd1, $cmdOutput, $err);
  13 | $homeDirPerms = substr(sprintf('%o', fileperms('/home')), -4);
  14 | if ($homeDirPerms == '0777') {
  15 |     $array['rootDetails'] = '<strong><font class=""Good"">Pass - root account details are good </strong></font><br/>';
  16 | } else {
  17 |     $array['rootDetails'] = '<strong><font class=""bad"">The root details provided have not passed: ' . $cmdOutput[0] . '</
  18 | }
  19 | // reset /home dir permissions
  20 | $rootTestCmd2 = 'sudo -S -u ' . $rootUname . ' chmod 0755 /home 2>&1';
> 21 | exec($rootTestCmd2, $cmdOutput, $err);
  22 | echo json_encode($array);
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/cmd1.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,13,"
   1 | <?php     include(""../common/header.php"");   ?>
   2 |
   3 | <!-- from https://pentesterlab.com/exercises/php_include_and_post_exploitation/course -->
   4 | <?php
   5 | hint(""will exec the arg specified in the GET parameter \""cmd\"""");
   6 | ?>
   7 |
   8 | <form action=""/CMD-1/index.php"" method=""GET"">
   9 |     <input type=""text"" name=""cmd"">
  10 | </form>
  11 |
  12 | <?php
> 13 |     system($_GET[""cmd""]);
  14 |  ?>
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/cmd2.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,10,"
   1 | <?php     include(""../common/header.php"");   ?>
   2 | <!-- from https://pentesterlab.com/exercises/php_include_and_post_exploitation/course -->
   3 | <?php  hint(""will exec the arg specified in the POST parameter \""cmd\""""); ?>
   4 |
   5 | <form action=""/CMD-2/index.php"" method=""POST"">
   6 |     <input type=""text"" name=""cmd"">
   7 | </form>
   8 |
   9 | <?php
> 10 |     system($_POST[""cmd""]);
  11 |  ?>
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/cmd3.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,14,"
   1 | <?php     include(""../common/header.php"");   ?>
   2 |
   3 | <!-- from https://pentesterlab.com/exercises/php_include_and_post_exploitation/course -->
   4 | <?php
   5 | hint(""will exec 'whois' with the arg specified in the GET parameter \""domain\"""");
   6 | ?>
   7 |
   8 | <form action=""/CMD-3/index.php"" method=""GET"">
   9 |     Whois: <input type=""text"" name=""domain"">
  10 | </form>
  11 |
  12 | <pre>
  13 | <?php
> 14 |     system(""/usr/bin/whois "" . $_GET[""domain""]);
  15 |  ?>
  16 | </pre>
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/cmd4.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,11,"
   1 | <?php     include(""../common/header.php"");   ?>
   2 | <!-- from https://pentesterlab.com/exercises/php_include_and_post_exploitation/course -->
   3 | <?php  hint(""will exec 'whois' with the arg specified in the POST parameter \""domain\""""); ?>
   4 |
   5 | <form action=""/CMD-4/index.php"" method=""POST"">
   6 |     <input type=""text"" name=""domain"">
   7 | </form>
   8 |
   9 | <pre>
  10 | <?php
> 11 |     system(""whois "" . $_POST[""domain""]);
  12 |  ?>
  13 | </pre>
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/cmd5.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,13,"
   2 | <!-- from https://pentesterlab.com/exercises/php_include_and_post_exploitation/course -->
   3 | <?php  hint(""not everything you need to inject is in a text input field ...""); ?>
   4 |
   5 | <form action=""/CMD-5/index.php"" method=""GET"">
   6 |     <input type=""text"" name=""domain"">
   7 |     <input type=""hidden"" name=""server"" value=""whois.publicinterestregistry.net"">
   8 | </form>
   9 |
  10 | <pre>
  11 | <?php
  12 | if (preg_match('/^[-a-z0-9]+\.a[cdefgilmnoqrstuwxz]|b[abdefghijmnorstvwyz]|c[acdfghiklmnoruvxyz]|d[ejkmoz]|e[cegrstu]|f[i
> 13 |         { system(""whois -h "" . $_GET[""server""] . "" "" . $_GET[""domain""]); }
  14 |     else
  15 |         {echo ""malformed domain name"";}
  16 |
  17 |  ?>
  18 | </pre>
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/cmd6.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,13,"
   2 | <!-- from https://pentesterlab.com/exercises/php_include_and_post_exploitation/course -->
   3 | <?php  hint(""not everything you need to inject is in a text input field ...""); ?>
   4 |
   5 | <form action=""/CMD-6/index.php"" method=""POST"">
   6 |     <input type=""text"" name=""domain"">
   7 |     <input type=""hidden"" name=""server"" value=""whois.publicinterestregistry.net"">
   8 | </form>
   9 |
  10 | <pre>
  11 | <?php
  12 | if (preg_match('/^[-a-z0-9]+\.a[cdefgilmnoqrstuwxz]|b[abdefghijmnorstvwyz]|c[acdfghiklmnoruvxyz]|d[ejkmoz]|e[cegrstu]|f[i
> 13 |         { system(""whois -h "" . $_POST[""server""] . "" "" . $_POST[""domain""]); }
  14 |     else
  15 |         {echo ""malformed domain name"";}
  16 |
  17 |  ?>
  18 | </pre>
     ^ Col 0
",php.php_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/exec.js,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,8,"
   7 | (req,res) => {
>  8 |     exec(`${req.body.url}`, (error) => {
   9 |         if (error) {
  10 |             return res.send('error');
  11 |         }
  12 |         res.send('pong')
  13 |     })
  14 |
  15 | }
     ^ Col 0
",javascript.javascript_remote_command_execution
004. Remote command execution,CWE-78,The system executes commands composed with inputs from external sources without proper validation in my_app/Command Injection/exec.js,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:T/RC:R,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-004,skims,SAST,19,"
  17 | (req,res) => {
  18 |     exec(
> 19 |         'gzip ' + req.query.file_path,
  20 |         function (err, data) {
  21 |           console.log('err: ', err)
  22 |           console.log('data: ', data);
  23 |           res.send('done');
  24 |     });
  25 | }
     ^ Col 0
",javascript.javascript_remote_command_execution
008. Reflected cross-site scripting (XSS),CWE-79,The web application dynamically generates web content without validating the source of the potentially untrusted data in my_app/XSS/dom.php,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N/E:U/RL:O/RC:R,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-008,skims,SAST,11,"
   3 | ?>
   4 | <html>
   5 |   <!-- From https://portswigger.net/web-security/dom-based/dom-clobbering -->
   6 |   <head>
   7 |
   8 |   </head>
   9 |   <body>
  10 |     <p>
> 11 |       Hi, <?= $_GET['name']; ?>
  12 |     </p>
  13 |     <script>
  14 |       window.onload = function(){
  15 |         let someObject = window.someObject || {};
  16 |         let script = document.createElement('script');
  17 |         script.src = someObject.url;
  18 |         document.body.appendChild(script);
  19 |      };
     ^ Col 0
",php.php_unsafe_xss_content
001. SQL injection - C Sharp SQL API,CWE-89,Use of user controlled parameters for querying the database in my_app/SQL Injection/SQLi.cs,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-001,skims,SAST,25,"
  21 | [HttpGet(""{id}"")]
  22 |         public string DoSqli(string id)
  23 |         {
  24 |             string conString = ""I AM a connection String"";
> 25 |             using (SqlCommand cmd = new SqlCommand(""SELECT * FROM users WHERE userId = '"" + id + ""'""))
  26 |             {
  27 |                 using (SqlConnection con = new SqlConnection(conString))
  28 |                 {
  29 |                     con.Open();
  30 |                     cmd.Connection = con;
  31 |                     SqlDataReader reader = cmd.ExecuteReader();
  32 |                     string res = """";
  33 |                     while (reader.Read())
  34 |                     {
  35 |                         res += reader[""userName""];
  36 |                     }
  37 |                     return res;
  38 |                 }
  39 |             }
  40 |         }
     ^ Col 0
",c_sharp.c_sharp_sql_injection
112. SQL injection - Java SQL API,CWE-89,Use of user controlled parameters for querying the database in my_app/SQL Injection/mysql.js,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L/E:U/RL:O/RC:R,CVSS:4.0/AV:N/AC:H/AT:N/PR:L/UI:N/SC:N/SI:N/SA:N/VC:L/VI:L/VA:L/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-112,skims,SAST,21,"
  16 | (req,res) => {
  17 |     let userId = req.params.id;
  18 |     let query = {
  19 |         sql : ""SELECT * FROM users WHERE id="" + userId
  20 |     }
> 21 |     connection.query(query,(err, result) => {
  22 |         res.json(result);
  23 |     });
  24 | }
     ^ Col 0
",javascript.javascript_sql_api_injection
